plantid,microbe,diversity,microbediversity,site
LLPSterile7,Sterile,High,SterileHigh,LLP
LLPSterile8,Sterile,High,SterileHigh,LLP
LLPSterile9,Sterile,High,SterileHigh,LLP
PortlandBacteria1,Bacteria,Low,BacteriaLow,Portland
PortlandBacteria10,Bacteria,Low,BacteriaLow,Portland
PortlandBacteria2,Bacteria,Low,BacteriaLow,Portland
PortlandBacteria3,Bacteria,Low,BacteriaLow,Portland
PortlandBacteria4,Bacteria,Low,BacteriaLow,Portland
PortlandBacteria5,Bacteria,Low,BacteriaLow,Portland
PortlandBacteria6,Bacteria,Low,BacteriaLow,Portland
PortlandBacteria7,Bacteria,Low,BacteriaLow,Portland
PortlandBacteria8,Bacteria,Low,BacteriaLow,Portland
PortlandBacteria9,Bacteria,Low,BacteriaLow,Portland
PortlandFull1,Full,Low,FullLow,Portland
PortlandFull10,Full,Low,FullLow,Portland
PortlandFull2,Full,Low,FullLow,Portland
PortlandFull3,Full,Low,FullLow,Portland
PortlandFull4,Full,Low,FullLow,Portland
PortlandFull5,Full,Low,FullLow,Portland
PortlandFull6,Full,Low,FullLow,Portland
PortlandFull7,Full,Low,FullLow,Portland
PortlandFull8,Full,Low,FullLow,Portland
PortlandFull9,Full,Low,FullLow,Portland
PortlandSterile1,Sterile,Low,SterileLow,Portland
PortlandSterile10,Sterile,Low,SterileLow,Portland
PortlandSterile2,Sterile,Low,SterileLow,Portland
PortlandSterile3,Sterile,Low,SterileLow,Portland
PortlandSterile4,Sterile,Low,SterileLow,Portland
PortlandSterile5,Sterile,Low,SterileLow,Portland
PortlandSterile6,Sterile,Low,SterileLow,Portland
PortlandSterile7,Sterile,Low,SterileLow,Portland
PortlandSterile8,Sterile,Low,SterileLow,Portland
PortlandSterile9,Sterile,Low,SterileLow,Portland
WolfrunBacteria1,Bacteria,High,BacteriaHigh,Wolfrun
WolfrunBacteria10,Bacteria,High,BacteriaHigh,Wolfrun
WolfrunBacteria2,Bacteria,High,BacteriaHigh,Wolfrun
WolfrunBacteria3,Bacteria,High,BacteriaHigh,Wolfrun
WolfrunBacteria4,Bacteria,High,BacteriaHigh,Wolfrun
WolfrunBacteria5,Bacteria,High,BacteriaHigh,Wolfrun
WolfrunBacteria6,Bacteria,High,BacteriaHigh,Wolfrun
WolfrunBacteria7,Bacteria,High,BacteriaHigh,Wolfrun
WolfrunBacteria8,Bacteria,High,BacteriaHigh,Wolfrun
WolfrunBacteria9,Bacteria,High,BacteriaHigh,Wolfrun
WolfrunFull1,Full,High,FullHigh,Wolfrun
WolfrunFull10,Full,High,FullHigh,Wolfrun
WolfrunFull2,Full,High,FullHigh,Wolfrun
WolfrunFull3,Full,High,FullHigh,Wolfrun
WolfrunFull4,Full,High,FullHigh,Wolfrun
WolfrunFull5,Full,High,FullHigh,Wolfrun
WolfrunFull6,Full,High,FullHigh,Wolfrun
WolfrunFull7,Full,High,FullHigh,Wolfrun
WolfrunFull8,Full,High,FullHigh,Wolfrun
WolfrunFull9,Full,High,FullHigh,Wolfrun
WolfrunSterile1,Sterile,High,SterileHigh,Wolfrun
WolfrunSterile10,Sterile,High,SterileHigh,Wolfrun
WolfrunSterile2,Sterile,High,SterileHigh,Wolfrun
WolfrunSterile3,Sterile,High,SterileHigh,Wolfrun
WolfrunSterile4,Sterile,High,SterileHigh,Wolfrun
WolfrunSterile5,Sterile,High,SterileHigh,Wolfrun
WolfrunSterile6,Sterile,High,SterileHigh,Wolfrun
WolfrunSterile7,Sterile,High,SterileHigh,Wolfrun
WolfrunSterile8,Sterile,High,SterileHigh,Wolfrun
WolfrunSterile9,Sterile,High,SterileHigh,Wolfrun
